price;product;quantitytoorder2p;region;skucode;skuname;url;title;ahprice;portiegrote;ahsku
0.29;ontbijt-box;1;NL;SPI-11-24456-4;Pompoenpitten (40g);https://www.ah.nl/producten/product/wi404056/puur-natuur-pompoenpitten;Puur Natuur Pompoenpitten;4,49;500 Gram;851461
0.22;ontbijt-box;1;NL;SPI-11-24467-4;Zonnebloempitten (40g);https://www.ah.nl/producten/product/wi227772/raw-organic-food-zonnebloempitten;Raw Organic Food Zonnebloempitten;1,59;300 Gram;821570
0.22;ontbijt-box;1;NL;SPI-11-24467-4;Zonnebloempitten (40g);https://www.ah.nl/producten/product/wi404055/puur-natuur-zonnebloempitten;Puur Natuur Zonnebloempitten;2,99;500 Gram;851460
0.22;ontbijt-box;1;NL;SPI-11-24467-4;Zonnebloempitten (40g);https://www.ah.nl/producten/product/wi456509/bolletje-vezelrijk-zadencackers-zonnebloempitten;Bolletje Vezelrijk zadencackers zonnebloempitten;2,19;265 Gram;615583
0.94;ontbijt-box;1;NL;SPI-11-24546-4;Pistachenoten (40g);https://www.ah.nl/producten/product/wi161587/ah-basic-pistachenoten;AH BASIC Pistachenoten;3,35;250 Gram;625075
0.94;ontbijt-box;1;NL;SPI-11-24546-4;Pistachenoten (40g);https://www.ah.nl/producten/product/wi197741/ah-notenmix-pistache-ongezouten;AH Notenmix pistache ongezouten;3,79;150 Gram;788232
0.94;ontbijt-box;1;NL;SPI-11-24546-4;Pistachenoten (40g);https://www.ah.nl/producten/product/wi57744/ah-pistachenoten-gezouten;AH Pistachenoten gezouten;3,19;140 Gram;611745
0.74;ontbijt-box;1;NL;SPI-11-24568-4;Walnoten (80g);https://www.ah.nl/producten/product/wi403605/ah-ongebrande-walnoten;AH Ongebrande walnoten;6,39;300 Gram;851141
0.74;ontbijt-box;1;NL;SPI-11-24568-4;Walnoten (80g);https://www.ah.nl/producten/product/wi140736/ah-walnoten-ongezouten;AH Walnoten ongezouten;2,99;110 Gram;611715
0.74;ontbijt-box;1;NL;SPI-11-24568-4;Walnoten (80g);https://www.ah.nl/producten/product/wi397907/ah-ongebrande-walnoten;AH Ongebrande walnoten;2,85;200 Gram;848393
1.19;ontbijt-box;1;NL;SPI-11-24709-4;Cranberry-notenmix (120g);https://www.ah.nl/producten/product/wi460470/ah-ongebrande-notenmix-cranberry-rozijn;AH Ongebrande notenmix cranberry rozijn;1,99;200 Gram;713149
