price;product;quantitytoorder2p;region;skucode;skuname;url;title;ahprice;portiegrote;ahsku
0.97;ontbijt-box;1;NL;PHF-10-16670-4;Avocado;https://www.ah.nl/producten/product/wi129400/ah-avocado-eetrijp;AH Avocado eetrijp;2,99;2 Stuks;571118
0.39;ontbijt-box;1;NL;PHF-10-41013-4;Rucolacress;;product not found;product not found;product not found;product not found
0.39;ontbijt-box;1;NL;PHF-10-41013-4;Rucolacress;;product not found;product not found;product not found;product not found
0.39;ontbijt-box;1;NL;PHF-10-41013-4;Rucolacress;;product not found;product not found;product not found;product not found
0.33;ontbijt-box;1;NL;PHF-10-41062-4;Tuinkers (20g);;product not found;product not found;product not found;product not found
0.33;ontbijt-box;1;NL;PHF-10-41062-4;Tuinkers (20g);https://www.ah.nl/producten/product/wi41245/discover-fresh-tuinkers;Discover Fresh Tuinkers;1,00;20 Gram;21033
0.33;ontbijt-box;1;NL;PHF-10-41062-4;Tuinkers (20g);;product not found;product not found;product not found;product not found
0.10;ontbijt-box;2;NL;PHF-10-41126-4;Pruimtomaat;;product not found;product not found;product not found;product not found
0.10;ontbijt-box;2;NL;PHF-10-41126-4;Pruimtomaat;;product not found;product not found;product not found;product not found
0.10;ontbijt-box;2;NL;PHF-10-41126-4;Pruimtomaat;;product not found;product not found;product not found;product not found
1.13;ontbijt-box;1;NL;PHF-10-41211-4;Frambozen (125g);https://www.ah.nl/producten/product/wi396952/ah-sweet-eve-frambozen;AH Sweet Eve frambozen;3,99;225 Gram;846934
1.13;ontbijt-box;1;NL;PHF-10-41211-4;Frambozen (125g);https://www.ah.nl/producten/product/wi162672/ah-doosjevol-frambozen;AH Doosjevol frambozen;1,89;250 Gram;631846
1.13;ontbijt-box;1;NL;PHF-10-41211-4;Frambozen (125g);https://www.ah.nl/producten/product/wi367237/ah-sweet-eve-frambozen;AH Sweet eve frambozen;2,79;140 Gram;833879
0.57;ontbijt-box;1;NL;PHF-11-16077-4;Spinazie (100g);https://www.ah.nl/producten/product/wi224710/ah-babyspinazie;AH Babyspinazie;1,59;100 Gram;817384
0.57;ontbijt-box;1;NL;PHF-11-16077-4;Spinazie (100g);https://www.ah.nl/producten/product/wi395960/ah-spinazie;AH Spinazie;1,49;400 Gram;847359
0.57;ontbijt-box;1;NL;PHF-11-16077-4;Spinazie (100g);https://www.ah.nl/producten/product/wi395948/ah-kleintje-spinazie;AH Kleintje spinazie;1,29;200 Gram;847346
0.41;ontbijt-box;1;NL;PHF-11-16084-4;Veldsla (40g);https://www.ah.nl/producten/product/wi67593/ah-veldsla;AH Veldsla;1,00;85 Gram;60443
0.41;ontbijt-box;1;NL;PHF-11-16084-4;Veldsla (40g);https://www.ah.nl/producten/product/wi168091/ah-veldsla-voordeel;AH Veldsla voordeel;1,69;150 Gram;644401
0.41;ontbijt-box;1;NL;PHF-11-16084-4;Veldsla (40g);https://www.ah.nl/producten/product/wi168154/ah-jonge-bladsla-met-veldsla;AH Jonge bladsla met veldsla;2,00;100 Gram;633950
0.28;ontbijt-box;1;NL;PHF-11-16126-4;Bieslook (10g);https://www.ah.nl/producten/product/wi195376/ah-zuivelspread-bieslook-light;AH Zuivelspread bieslook light;1,79;200 Gram;796255
0.28;ontbijt-box;1;NL;PHF-11-16126-4;Bieslook (10g);https://www.ah.nl/producten/product/wi238965/ah-bieslook;AH Bieslook;1,69;25 Gram;831597
0.28;ontbijt-box;1;NL;PHF-11-16126-4;Bieslook (10g);https://www.ah.nl/producten/product/wi217288/ah-scharrelei-bieslook-salade;AH Scharrelei bieslook salade;2,00;150 Gram;807578
0.20;ontbijt-box;1;NL;PHF-11-16130-4;Bladpeterselie (10g);;product not found;product not found;product not found;product not found
0.20;ontbijt-box;1;NL;PHF-11-16130-4;Bladpeterselie (10g);;product not found;product not found;product not found;product not found
0.20;ontbijt-box;1;NL;PHF-11-16130-4;Bladpeterselie (10g);;product not found;product not found;product not found;product not found
0.42;ontbijt-box;1;NL;PHF-11-16724-4;Dadelstukjes (50g);https://www.ah.nl/producten/product/wi413550/ah-witte-chocoladepasta-amandelstukjes;AH Witte chocoladepasta amandelstukjes;2,05;200 Gram;856524
0.42;ontbijt-box;1;NL;PHF-11-16724-4;Dadelstukjes (50g);https://www.ah.nl/producten/product/wi437107/ah-verrijker-dadelstukjes;AH Verrijker dadelstukjes;1,99;250 Gram;63094
0.42;ontbijt-box;1;NL;PHF-11-16724-4;Dadelstukjes (50g);https://www.ah.nl/producten/product/wi437106/ah-verrijker-amandelstukjes;AH Verrijker amandelstukjes;3,99;250 Gram;63083
0.55;ontbijt-box;1;NL;PHF-11-16729-4;Gedroogde vijgenstukjes (50g);;product not found;product not found;product not found;product not found
0.55;ontbijt-box;1;NL;PHF-11-16729-4;Gedroogde vijgenstukjes (50g);;product not found;product not found;product not found;product not found
0.55;ontbijt-box;1;NL;PHF-11-16729-4;Gedroogde vijgenstukjes (50g);;product not found;product not found;product not found;product not found
